,name,m,lambda_r,epsilon,sigma
298,"1,1,1,3,3,3-hexafluoropropane",4,11.0100990874,162.854819782,3.2110612851e-10
299,"1,1,1,3,3,3-hexafluoropropane",5,9.68239801736,133.319325175,2.92845990032e-10
300,"1,1,1,3,3,3-hexafluoropropane",6,8.81137100806,112.948567609,2.70937051285e-10
301,"1,1,1,3,3-pentafluoropropane",1,79.438131878,577.705209911,5.44554898125e-10
302,"1,1,1,3,3-pentafluoropropane",2,21.9183965305,334.364270901,4.04482461352e-10
303,"1,1,1,3,3-pentafluoropropane",3,13.6419259461,224.383841578,3.43269230131e-10
304,"1,1,1,3,3-pentafluoropropane",4,11.1896778543,173.401583238,3.05711942044e-10
305,"1,1,1,3,3-pentafluoropropane",5,9.81739424192,141.976270819,2.78831607309e-10
306,"1,1,1,3,3-pentafluoropropane",6,8.91835681104,120.283075647,2.57984498147e-10
307,"1,1,1,3-tetrachloropropane",1,71.0215118544,871.309702658,6.20671583568e-10
308,"1,1,1,3-tetrachloropropane",2,20.1444589136,495.022955137,4.60924994342e-10
309,"1,1,1,3-tetrachloropropane",3,13.0292935127,332.920060799,3.91804650412e-10
310,"1,1,1,3-tetrachloropropane",4,10.7957161855,257.583577944,3.48988243643e-10
311,"1,1,1,3-tetrachloropropane",5,9.5209510089,210.828989699,3.18237806354e-10
312,"1,1,1,3-tetrachloropropane",6,8.68314114125,178.615332845,2.94412023488e-10
313,"1,1,1,3-tetrafluoropropane",1,69.5124221326,606.279165951,5.37225059803e-10
314,"1,1,1,3-tetrafluoropropane",2,19.8153167155,343.088679412,3.98953615627e-10
315,"1,1,1,3-tetrafluoropropane",3,12.9120870426,230.890928695,3.39227214133e-10
316,"1,1,1,3-tetrafluoropropane",4,10.7191136647,178.675362534,3.02162779087e-10
317,"1,1,1,3-tetrafluoropropane",5,9.46318381804,146.234284286,2.75526420558e-10
318,"1,1,1,3-tetrafluoropropane",6,8.63718528898,123.890685471,2.54893321365e-10
319,"1,1,1,3-tetraiodopropane",1,57.3583184254,1264.02636374,6.90131420999e-10
